time,X,Y,Z,vX,vY,vZ,aX,aY,aZ
4.79734,4.31085,-7.45278,96.329,1.82361,-3.10816,40.166,0.404758,-0.675396,8.39694
4.86599,4.43689,-7.6677,99.1062,1.84811,-3.15288,40.7375,0.356858,-0.651445,8.32509
4.93446,4.56435,-7.88497,101.915,1.87517,-3.19355,41.3054,0.395178,-0.593965,8.29395
4.99848,4.68517,-8.09072,104.577,1.89894,-3.23357,41.839,0.371228,-0.6251,8.33467
5.06723,4.81664,-8.31457,107.473,1.9261,-3.27918,42.4179,0.395178,-0.66342,8.42089
5.1358,4.94957,-8.54092,110.401,1.95106,-3.32286,42.9907,0.364043,-0.637075,8.35383
5.20489,5.08537,-8.77216,113.391,1.97986,-3.37085,43.5679,0.416733,-0.694556,8.35383
5.26848,5.21191,-8.98785,116.178,2.00011,-3.41288,44.092,0.318538,-0.661025,8.24126
5.33708,5.35,-9.22348,119.223,2.02542,-3.45626,44.6689,0.368833,-0.632285,8.40891
5.4059,5.49035,-9.46292,122.317,2.05393,-3.5029,45.2521,0.414338,-0.677791,8.47597
5.47466,5.63252,-9.70532,125.448,2.08094,-3.5472,45.8286,0.392783,-0.64426,8.38257
5.52802,5.74414,-9.89549,127.906,2.10254,-3.58056,46.2745,0.404758,-0.6251,8.35622
5.60728,5.91204,-10.1812,131.6,2.13424,-3.62992,46.9434,0.399968,-0.622705,8.44005
5.67595,6.05948,-10.432,134.843,2.15989,-3.67465,47.5176,0.373623,-0.651445,8.36101
5.74483,6.20914,-10.6868,138.136,2.18596,-3.72199,48.0949,0.378413,-0.687371,8.38257
5.81359,6.36028,-10.9444,141.463,2.20984,-3.77091,48.6741,0.347278,-0.711321,8.42328
5.87752,6.50243,-11.1868,144.592,2.23755,-3.81255,49.2106,0.433499,-0.651445,8.39215
5.94622,6.6571,-11.4502,147.992,2.26519,-3.85599,49.7806,0.402363,-0.632285,8.29635
6.01492,6.8136,-11.7167,151.432,2.29086,-3.90338,50.3529,0.373623,-0.689766,8.32988
6.08367,6.97195,-11.9867,154.914,2.3154,-3.94882,50.93,0.356858,-0.661025,8.39454
6.14749,7.12049,-12.2401,158.18,2.33985,-3.99238,51.4565,0.383203,-0.682581,8.25084
6.2162,7.28219,-12.5159,161.736,2.36667,-4.03698,52.0342,0.390388,-0.64905,8.40652
6.28483,7.4456,-12.7944,165.327,2.39544,-4.07906,52.6101,0.419128,-0.613125,8.39215
6.35372,7.61155,-13.077,168.971,2.42217,-4.12312,53.1865,0.387993,-0.63947,8.3658
6.41768,7.76724,-13.3421,172.39,2.44668,-4.16738,53.7238,0.383203,-0.692161,8.40173
6.48608,7.93547,-13.6286,176.085,2.47223,-4.20981,54.3031,0.373623,-0.62031,8.46879
6.55491,8.10648,-13.9198,179.842,2.49696,-4.253,54.8766,0.359253,-0.627495,8.33227
